Date,High,Low,Open,Close,Volume,Adj_Close
2017-06-01,181.1000061,179.8600006,180.8099976,180.6300049,2028300,167.8891907
2017-06-02,181.25,179.8699951,180.5800018,180.9700012,2239900,168.2052155
2017-06-05,182.2100067,180.6000061,181.1000061,182.0800018,1561100,169.2368622
2017-06-06,182.7200012,181.0099945,181.6999969,181.4499969,2248900,168.6513519
2017-06-07,182.2400055,181.1399994,181.4400024,182.1999969,1246200,169.3484344
2017-06-08,182.5,180.8399963,181.9199982,181.4100037,1823600,168.6141815
2017-06-09,181.9299927,179.9199982,181.7100067,180.3800049,2167600,167.6567993
2017-06-12,180.8699951,178.7899933,179.5800018,179.6399994,2395200,166.9689941
2017-06-13,180.7899933,179.0299988,179.8999939,180.5099945,1745400,167.7776337
2017-06-14,181.9600067,180.2299957,180.8300018,181.6699982,1440400,168.8558044
2017-06-15,181.3300018,178.3699951,180.3899994,180.0599976,1753800,167.3594055
2017-06-16,170.6000061,165,170.3999939,167.1100006,24233000,155.3227997
2017-06-19,167.3800049,162.3899994,167.0500031,164.3399963,13809100,152.7481842
2017-06-20,165.5,162.4299927,165.5,162.8999939,7337600,151.40979
2017-06-21,163.7700043,162.75,163.4900055,163.1499939,3421700,151.6421356
2017-06-22,163.3000031,159.0099945,163.1699982,159.7899933,8043100,148.519104
2017-06-23,159.8000031,156.5599976,159.3999939,157.1300049,9506700,146.0467682
2017-06-26,160.9900055,158.1000061,158.1499939,160.1999969,6473900,148.900238
2017-06-27,161.5500031,159.1999969,160.6600037,159.2599945,5533800,148.0265045
2017-06-28,160.5,159.5,159.5899963,160.1699982,3234400,148.872345
2017-06-29,160.4700012,157.8000031,160.2100067,158.6799927,3664200,147.4874268
2017-06-30,160.5399933,158.7899933,159.6000061,159.9299927,4755100,148.6492767
2017-07-03,160.5299988,158.6900024,160.2100067,158.8200073,1994300,147.6175385
2017-07-05,159.5,157.8600006,158.9299927,158.0200043,3770400,146.8739624
2017-07-06,161.3500061,157.0500031,161.1100006,157.0899963,6963400,146.0095825
2017-07-07,157.5500031,154.0899963,157.3600006,154.1100006,7688400,143.2397766
2017-07-10,153.6000061,150.9600067,153.5099945,151,8999800,140.3491821
2017-07-11,153.0899963,150.9299927,151.4499969,151.1100006,6275600,140.4513855
2017-07-12,152.8999939,151.4199982,151.4600067,151.75,5112200,141.0462494
2017-07-13,153.9299927,152.6199951,153.2299957,153.6000061,5673500,142.7658081
2017-07-14,154.2700043,152.8999939,154.2599945,153,4368400,142.2080841
2017-07-17,153.4400024,152.5200043,153,152.8399963,3096500,142.0593872
2017-07-18,152.8399963,150.9400024,152.6100006,151.5,3256900,140.8138733
2017-07-19,152.1600037,150.8999939,151.8099976,151.2400055,4100000,140.5722198
2017-07-20,152.1900024,150.8800049,151.4700012,150.9900055,3207400,140.339859
2017-07-21,151.2299957,150,150.9400024,150.4400024,4078000,139.8286285
2017-07-24,151.4700012,150.1100006,150.4499969,151,3655600,140.3491821
2017-07-25,153.6999969,151.3999939,151.4100037,153.1699982,4605700,142.3660889
2017-07-26,153.5,151.5500031,153.4100037,152.0899963,3017200,141.3622437
2017-07-27,152.9900055,151.4400024,152.0099945,152.5200043,3637900,141.7619324
2017-07-28,153.3000031,152.1100006,152.6699982,152.8899994,2779500,142.105835
2017-07-31,158.6600037,153.0299988,153.0800018,158.5099945,6937100,147.329422
2017-08-01,159.9700012,157.9100037,159.1000061,159.7200012,4787500,148.4540863
2017-08-02,161.5500031,158.4400024,159.1300049,161.2799988,5486300,149.9040222
2017-08-03,162.3500061,157.0599976,161.6100006,157.9100037,5562600,146.771759
2017-08-04,158.4400024,155.8300018,158.3399963,156.4400024,3117900,145.4054565
2017-08-07,157.5800018,155.3399963,156.5,156.9499969,2629500,145.8794861
2017-08-08,159.4400024,157.0299988,157.1000061,157.75,2569200,146.6230469
2017-08-09,157.5700073,156.1999969,157.1399994,156.8600006,2157600,145.7958374
2017-08-10,157.5700073,155.3699951,156.1699982,156.6399994,2764600,145.5912933
2017-08-11,157.8000031,156.4100037,156.5099945,156.6499939,1887000,145.6006012
2017-08-14,158.1999969,156.5399933,157.5899963,157.9100037,2028400,146.771759
2017-08-15,158.3800049,156.7899933,158,156.8800049,1869100,145.8144073
2017-08-16,159.8800049,157.1100006,157.2799988,159.7599945,3381800,148.9659882
2017-08-17,159.9499969,157.6399994,158.4799957,158.5700073,2650000,147.8564453
2017-08-18,158.6900024,156.9199982,157.9799957,157.0800018,2747900,146.4671173
2017-08-21,158.1699982,155.9600067,157.1900024,157.0700073,1857400,146.4577637
2017-08-22,159.4499969,157.5299988,157.5299988,158.6999969,2204600,147.9776306
2017-08-23,159.4400024,157.7799988,158.6199951,159.3699951,1731400,148.6023712
2017-08-24,160.6600037,151.0899963,160,151.3300018,10301700,141.1056061
2017-08-25,152.9400024,150.0599976,152.3699951,152.4499969,5703500,142.1499023
2017-08-28,153.2799988,151.1999969,151.8999939,152.5500031,3776400,142.2431793
2017-08-29,153.9900055,151.4600067,152.3800049,153.5599976,2446200,143.1848907
2017-08-30,154.7400055,152.8800049,153.7100067,154.4400024,2493500,144.0054779
2017-08-31,157.2599945,153.9499969,156.2200012,156.7400055,4567700,146.1500397
2017-09-01,158.5500031,157.1999969,157.5899963,158.2400055,2833500,147.5487213
2017-09-05,159.7200012,157.4700012,157.9600067,159.1399994,3413000,148.3879089
2017-09-06,159.9400024,158.0899963,159.1900024,158.8600006,2873700,148.1268158
2017-09-07,159.6000061,157.5700073,158.9700012,159.2799988,2479300,148.5184326
2017-09-08,158.5,155.0299988,158.3699951,157.3099976,3364600,146.6815338
2017-09-11,158,157.0599976,157.8899994,157.3600006,2442500,146.7281799
2017-09-12,160.6499939,157.4499969,157.6699982,160.0399933,2988400,149.2270966
2017-09-13,163.9499969,160.0099945,160.1399994,162.9900055,4202000,151.9777985
